"FID","MID","VideoID","DelayLeaveDish","TotalWatch","NbFAttacks","NbIntendedFAttacks","NBCourt","TotalCourtDur","CopDur","NaiveNBCourt","NaiveTotalCourtDur","TrialDate","CopulateYN","CopDuringVideo","CannibalizeYN","EatDuringVideo","DelayFirstFAttack","DelayConsum","DelayFirstCourt","DelayNaiveFirstCourt","MTrt","FTrt"
18342,18236,156,109,1384,3,3,12,751,1604,6,154,2018-06-23,1,1,0,0,658,NA,480,480,"RedGrey","RedAverse"
18350,18241,178,490,2800,1,1,21,1280,1768,8,574,2018-06-24,1,1,0,0,1818,NA,494,494,"AllRed","RedPreference"
18351,18267,36,150,2228,1,1,27,1817,1543,13,923,2018-06-24,1,1,0,0,1180,NA,200,200,"AllRed","RedAverse"
18352,18261,247,33,7193,3,3,178,2030,0,12,112,2018-06-25,1,0,0,0,739,NA,414,414,"RedGrey","RedPreference"
18353,18247,123,1218,2419,2,3,6,67,0,4,38,2018-06-25,0,0,1,1,2018,2419,1711,1711,"RedGrey","RedAverse"
18354,18397,172,103,775,0,0,1,669,2247,1,669,2018-08-17,1,1,1,0,NA,NA,106,106,"Unmanipulated","RedPreference"
18355,18368,263,2239,6634,1,3,43,2296,302,18,1022,2018-09-03,1,1,0,0,3620,NA,2528,2528,"AllGrey","RedAverse"
18356,18459,210,1994,7171,0,0,52,3518,0,52,3518,2018-08-20,0,0,0,0,NA,NA,387,387,"AllRed","RedPreference"
18357,18346,211,14,7366,0,2,54,1006,0,54,1006,2018-06-29,0,0,0,0,NA,NA,61,61,"AllRed","RedAverse"
18358,18436,109,139,1266,4,4,19,642,0,1,41,2018-07-10,0,0,1,1,136,1266,95,95,"AllGrey","RedPreference"
18359,18218,64,17,678,1,1,1,410,825,NA,NA,2018-06-29,1,1,1,0,267,NA,268,NA,"RedGrey","RedAverse"
18375,18284,74,383,1467,0,1,19,878,2400,19,878,2018-06-27,1,1,0,0,NA,NA,437,437,"AllRed","RedPreference"
18376,18215,136,22,851,0,0,2,392,1440,2,392,2018-06-27,1,1,0,0,NA,NA,454,454,"RedGrey","RedAverse"
18377,18246,144,36,4705,16,19,96,3400,1266,13,399,2018-06-26,1,1,0,0,643,NA,50,50,"RedGrey","RedPreference"
18378,18216,145,33,1690,0,1,21,1390,1261,21,1390,2018-06-26,1,1,0,0,NA,NA,175,175,"AllGrey","RedAverse"
18379,18522,101,398,825,0,0,8,359,2387,8,359,2018-07-19,1,1,1,0,NA,NA,399,399,"AllGrey","RedPreference"
18380,18388,120,112,3304,3,5,13,950,1842,NA,NA,2018-07-11,1,1,1,1,410,5470,421,NA,"RedGrey","RedAverse"
18400,18223,42,29,652,0,0,3,466,1679,3,466,2018-06-26,1,1,0,0,NA,NA,141,141,"AllGrey","RedPreference"
18401,18272,152,136,1830,2,2,11,514,587,4,126,2018-06-28,1,1,1,0,963,NA,136,136,"AllGrey","RedAverse"
18410,18385,246,122,7244,0,0,138,4521,0,138,4521,2018-06-29,0,0,0,0,NA,NA,1313,1313,"AllGrey","RedPreference"
18411,18275,212,795,7246,2,15,29,4930,0,17,3339,2018-07-08,0,0,0,0,4471,NA,401,401,"AllGrey","RedAverse"
18412,18369,44,94,1020,0,0,15,856,1301,15,856,2018-06-29,1,1,0,0,NA,NA,61,61,"AllRed","RedPreference"
18413,18402,193,106,5758,6,6,37,3608,1414,5,665,2018-07-11,1,1,0,0,1029,NA,167,167,"AllGrey","RedAverse"
18414,18239,81,153,1525,1,1,4,1240,0,4,1240,2018-07-10,0,0,1,1,1525,1525,128,128,"AllRed","RedPreference"
18415,18363,213,296,7252,3,6,70,4075,0,34,1948,2018-07-09,0,0,1,0,3601,NA,358,358,"AllRed","RedAverse"
18416,18344,157,1255,2203,0,0,6,874,1506,6,874,2018-07-01,1,1,0,0,NA,NA,948,948,"RedGrey","RedPreference"
18417,18488,214,1017,7202,0,3,19,4813,0,19,4813,2018-08-13,0,0,1,0,NA,NA,439,439,"Unmanipulated","RedAverse"
18418,18420,49,190,6407,5,11,46,4504,1585,21,822,2018-07-11,1,1,1,0,1379,NA,115,115,"AllRed","RedPreference"
18419,18396,147,63,1055,1,1,3,768,1400,1,111,2018-07-10,1,1,1,0,366,NA,264,264,"AllRed","RedAverse"
